darknet-yolov3
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
320
Loaded: 0.322835 seconds
Region 82 Avg IOU: 0.295467, Class: 0.754273, Obj: 0.361922, No Obj: 0.563942, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.059477, Class: 0.457482, Obj: 0.694517, No Obj: 0.494652, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.611727, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.154590, Class: 0.251687, Obj: 0.510364, No Obj: 0.566300, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.217656, Class: 0.621734, Obj: 0.374283, No Obj: 0.496337, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.617043, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.118263, Class: 0.568238, Obj: 0.527808, No Obj: 0.565971, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.046701, Class: 0.552360, Obj: 0.333562, No Obj: 0.494599, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.611807, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.286331, Class: 0.496336, Obj: 0.707242, No Obj: 0.566280, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.354480, Class: 0.594939, Obj: 0.275879, No Obj: 0.494986, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.611530, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.112235, Class: 0.450369, Obj: 0.741393, No Obj: 0.567377, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.056626, Class: 0.112844, Obj: 0.829559, No Obj: 0.495387, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.612429, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.377871, Class: 0.518195, Obj: 0.661959, No Obj: 0.567635, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.001888, Class: 0.658623, Obj: 0.352808, No Obj: 0.495882, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.614351, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.407470, Class: 0.521081, Obj: 0.458607, No Obj: 0.566442, .5R: 0.250000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.130787, Class: 0.120371, Obj: 0.556626, No Obj: 0.495586, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.612252, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.159696, Class: 0.372954, Obj: 0.440641, No Obj: 0.565209, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.024177, Class: 0.321969, Obj: 0.410762, No Obj: 0.495947, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.611412, .5R: -nan, .75R: -nan,  count: 0
